/cluster/home/yhkuo/.conda/envs/compAstro/bin/python
/cluster/home/yhkuo/Entropy_and_Area/testK.py:152: UserWarning: Matplotlib is currently using agg, which is a non-GUI backend, so cannot show the figure.
  plt.show()
r=1, S_total_r=0.6353005974000936
r=2, S_total_r=1.8019765313412297
r=3, S_total_r=3.5691769329220246
r=4, S_total_r=5.9289914767272505
r=5, S_total_r=8.880294532062514
r=6, S_total_r=12.422741660539668
r=7, S_total_r=16.556189905620577
r=8, S_total_r=21.280566995038992
r=9, S_total_r=26.59581229628986
r=10, S_total_r=32.50189909270127
r=11, S_total_r=38.998804525743786
r=12, S_total_r=46.086520777916476
r=13, S_total_r=53.765016738527706
r=14, S_total_r=62.03429095421843
r=15, S_total_r=70.89433527273124
r=16, S_total_r=80.34514297028475
r=17, S_total_r=90.38670857781065
r=18, S_total_r=101.01902738849948
r=19, S_total_r=112.24211062706482
r=20, S_total_r=124.05592537125034
r=21, S_total_r=136.46048301351533
r=22, S_total_r=149.45578100134196
r=23, S_total_r=163.04181693628877
r=24, S_total_r=177.21858885829567
r=25, S_total_r=191.98609477910404
r=26, S_total_r=207.34433305073128
r=27, S_total_r=223.29332348425575
r=28, S_total_r=239.83302269800552
r=29, S_total_r=256.96345000797106
r=30, S_total_r=274.68460401527545
r=31, S_total_r=292.99648359585325
r=32, S_total_r=311.8990876935827
r=33, S_total_r=331.3924151148045
r=34, S_total_r=351.4764649402342
r=35, S_total_r=372.1512635745073
r=36, S_total_r=393.4167558291455
r=37, S_total_r=415.2729675838272
r=38, S_total_r=437.7198977514945
r=39, S_total_r=460.75754556709387
r=40, S_total_r=484.38590999876897
r=41, S_total_r=508.6049902284752
r=42, S_total_r=533.4147852355819
r=43, S_total_r=558.8152941836487
r=44, S_total_r=584.8065507429294
r=45, S_total_r=611.3884856336166
r=46, S_total_r=638.5611318446672
r=47, S_total_r=666.3244882032812
r=48, S_total_r=694.6785538560487
r=49, S_total_r=723.6233279586905
r=50, S_total_r=753.1588093261227
r=51, S_total_r=783.2849971471201
r=52, S_total_r=814.0018910331545
r=53, S_total_r=845.3095290326524
r=54, S_total_r=877.2078304604661
r=55, S_total_r=909.6968338717678
r=56, S_total_r=942.7765383581208
r=57, S_total_r=976.4469425380776
r=58, S_total_r=1010.7080453331764
r=59, S_total_r=1045.5598455480178
r=60, S_total_r=1081.002341708505
r=61, S_total_r=1117.0355336482357
r=62, S_total_r=1153.6594654308592
r=63, S_total_r=1190.8721508139222
r=64, S_total_r=1228.6693864960266
r=65, S_total_r=1267.0567047916672
r=66, S_total_r=1306.0340833617581
r=67, S_total_r=1345.6014990378505
r=68, S_total_r=1385.7589286818786
r=69, S_total_r=1426.50634999774
r=70, S_total_r=1467.843736614708
r=71, S_total_r=1509.7710656510046
r=72, S_total_r=1552.2883123022398
r=73, S_total_r=1595.3954517924012
r=74, S_total_r=1639.0924590645188
r=75, S_total_r=1683.3793082955112
r=76, S_total_r=1728.2559737404033
r=77, S_total_r=1773.7224289099445
r=78, S_total_r=1819.7786484798844
r=79, S_total_r=1866.4246033081124
r=80, S_total_r=1913.6602668945006
r=81, S_total_r=1961.4856119015124
r=82, S_total_r=2009.900609833366
r=83, S_total_r=2058.905232392472
r=84, S_total_r=2108.4994508952163
r=85, S_total_r=2158.6832357944227
r=86, S_total_r=2209.4565590376073
r=87, S_total_r=2260.819387758768
r=88, S_total_r=2312.7716929521275
r=89, S_total_r=2365.313443453085
r=90, S_total_r=2418.444608092315
r=91, S_total_r=2472.1651552679136
r=92, S_total_r=2526.47505247347
r=93, S_total_r=2581.3742672065264
r=94, S_total_r=2636.862766017897
r=95, S_total_r=2692.9405168220433
r=96, S_total_r=2749.6074828185356
r=97, S_total_r=2806.8636302911345
r=98, S_total_r=2864.708924442785
r=99, S_total_r=2923.1433289627976
r=100, S_total_r=2982.1668077272743
Time used: 34946.07903289795 sec
[ 0.02349604  0.05655226 -0.28544463]
