/cluster/home/yhkuo/.conda/envs/compAstro/bin/python
/cluster/home/yhkuo/Entropy_and_Area/testK.py:152: UserWarning: Matplotlib is currently using agg, which is a non-GUI backend, so cannot show the figure.
  #plt.show()
r=1, S_total_r=0.6351610096119342
r=2, S_total_r=1.8015679964983797
r=3, S_total_r=3.56836158726813
r=4, S_total_r=5.9276278098616455
r=5, S_total_r=8.878235997185875
r=6, S_total_r=12.419835271999396
r=7, S_total_r=16.552274772390057
r=8, S_total_r=21.275472760928142
r=9, S_total_r=26.589357463834336
r=10, S_total_r=32.49388920224278
r=11, S_total_r=38.98903016463063
r=12, S_total_r=46.07475538212073
r=13, S_total_r=53.75101415704718
r=14, S_total_r=62.01778271662358
r=15, S_total_r=70.87502756236512
r=16, S_total_r=80.32271312747001
r=17, S_total_r=90.3608012026139
r=18, S_total_r=100.98924986558447
r=19, S_total_r=112.2080279998041
r=20, S_total_r=124.01705444690259
r=21, S_total_r=136.41628554822313
r=22, S_total_r=149.40565578506965
r=23, S_total_r=162.98509057396723
r=24, S_total_r=177.15450494573284
r=25, S_total_r=191.91380128392709
r=26, S_total_r=207.2628671955136
r=27, S_total_r=223.20159399945604
r=28, S_total_r=239.72978856655817
r=29, S_total_r=256.8472949484157
r=30, S_total_r=274.5539058504815
r=31, S_total_r=292.8493768670482
r=32, S_total_r=311.7334182832969
r=33, S_total_r=331.20568438146506
r=34, S_total_r=351.26576069427404
r=35, S_total_r=371.91317401837205
r=36, S_total_r=393.14726159786005
r=37, S_total_r=414.96730482657324
r=38, S_total_r=437.37238320264044
r=39, S_total_r=460.3613504787436
r=40, S_total_r=483.93276511497055
r=41, S_total_r=508.08479590337396
r=42, S_total_r=532.8150892190396
r=43, S_total_r=558.1205823434107
r=44, S_total_r=583.9972680226336
r=45, S_total_r=610.4396601144616
r=46, S_total_r=637.440402157244
r=47, S_total_r=664.9892118406564
r=48, S_total_r=693.0714558269103
r=49, S_total_r=721.6657608972472
r=50, S_total_r=750.7399499524367
r=51, S_total_r=780.243821913989
r=52, S_total_r=810.0956404746837
r=53, S_total_r=840.1552518185363
r=54, S_total_r=870.1660000284263
r=55, S_total_r=899.6175524166196
r=56, S_total_r=927.3753613037826
r=57, S_total_r=950.4902599123295
r=58, S_total_r=959.2261616491932
r=59, S_total_r=904.5360499188018
r=60, S_total_r=0
Time used: 1223.3742909431458 sec
[ 1.77187978e-02  2.40293054e+01 -8.38979209e+01]
