#        N                    x^-2                   Error                   log_N               log_Error
        10        1.00000000000000        0.03327733294346        1.00000000000000       -1.47785148810104
       100        0.25000000000000        0.00105810741806        2.00000000000000       -2.97547024089867
      1000        0.11111111111111        0.00003347874764        3.00000000000000       -4.47523079623665
     10000        0.06250000000000        0.00000105874936        4.00000000000000       -5.97520683921241
    100000        0.04000000000000        0.00000003348077        5.00000000000000       -7.47520453155305
   1000000        0.02777777777778        0.00000000105881        6.00000000000000       -8.97518345425177
  10000000        0.02040816326531        0.00000000003345        7.00000000000000      -10.47566858240911
  ********        0.01562500000000        0.00000000000103        8.00000000000000      -11.98862340698030
  ********        0.01234567901235        0.00000000000277        9.00000000000000      -11.55791132738566
  ********        0.01000000000000        0.00000000006795       10.00000000000000      -10.16779017083555
