#            N                    x^-4                   Error                   log_N               log_Error
            10        1.00000000000000        0.03327733294346        1.00000000000000       -1.47785148810104
           100        0.06250000000000        0.00105810741806        2.00000000000000       -2.97547024089850
          1000        0.01234567901235        0.00003347874765        3.00000000000000       -4.47523079622014
         10000        0.00390625000000        0.00000105874937        4.00000000000000       -5.97520683637117
        100000        0.00160000000000        0.00000003348078        5.00000000000000       -7.47520437752905
       1000000        0.00077160493827        0.00000000105874        6.00000000000000       -8.97521140214826
      10000000        0.00041649312786        0.00000000003344        7.00000000000000      -10.47573466830555
     100000000        0.00024414062500        0.00000000000049        8.00000000000000      -12.30760150522155
    1000000000        0.00015241579028        0.00000000000272        9.00000000000000      -11.56491063820816
   10000000000        0.00010000000000        0.00000000006794       10.00000000000000      -10.16787600523094
