#        N                    x^-2                   Error                   log_N               log_Error
        10        1.00000000000000        0.03327733294346        1.00000000000000       -1.47785148810104
       100        0.25000000000000        0.00105810741806        2.00000000000000       -2.97547024089833
      1000        0.11111111111111        0.00003347874765        3.00000000000000       -4.47523079622931
     10000        0.06250000000000        0.00000105874936        4.00000000000000       -5.97520683845861
    100000        0.04000000000000        0.00000003348079        5.00000000000000       -7.47520428584812
   1000000        0.02777777777778        0.00000000105875        6.00000000000000       -8.97520612554045
  10000000        0.02040816326531        0.00000000003363        7.00000000000000      -10.47321401953829
  ********        0.01562500000000        0.00000000000095        8.00000000000000      -12.02031154356835
  ********        0.01234567901235        0.00000000000280        9.00000000000000      -11.55340945403038
  ********        0.01000000000000        0.00000000006794       10.00000000000000      -10.16788955958111
