 #   N                solution                   Error               log_Error
     1   -0.35000000000000E+01    0.49999999999999E-02   -0.23010299956640E+01
     2   -0.32500000000000E+01    0.45731250000000E+01    0.66021307237747E+00
     3   -0.33750000000000E+01    0.24188281250000E+01    0.38360500973599E+00
     4   -0.34375000000000E+01    0.12413378906250E+01    0.93890012006659E-01
     5   -0.34687500000000E+01    0.62686645507813E+00   -0.20282496953614E+00
     6   -0.34843750000000E+01    0.31311904907227E+00   -0.50429051061586E+00
     7   -0.34921875000000E+01    0.15460741043091E+00   -0.81076969390978E+00
     8   -0.34960937500000E+01    0.74940855503082E-01   -0.11252813534340E+01
     9   -0.34980468750000E+01    0.35004737675190E-01   -0.14558731725941E+01
    10   -0.34990234375000E+01    0.15010949112475E-01   -0.18235918473117E+01
    11   -0.34995117187500E+01    0.50076199742035E-02   -0.23003686369400E+01
    12   -0.34997558593750E+01    0.43463852490433E-05   -0.53618717818999E+01
    13   -0.34998779296875E+01    0.24976927023816E-02   -0.26024609950529E+01
    14   -0.34998168945312E+01    0.12466396330000E-02   -0.29042590701926E+01
    15   -0.34997863769531E+01    0.62113824256915E-03   -0.32068117310580E+01
    16   -0.34997711181641E+01    0.30839383334058E-03   -0.35108943147097E+01
    17   -0.34997634887695E+01    0.15202320021945E-03   -0.38180901294340E+01
    18   -0.34997596740723E+01    0.73838276532179E-04   -0.41317184487820E+01
    19   -0.34997577667236E+01    0.34745912903311E-04   -0.44590962733165E+01
    20   -0.34997568130493E+01    0.15199755641682E-04   -0.48181633939185E+01
    21   -0.34997563362122E+01    0.54266831499561E-05   -0.52654655350158E+01
    22   -0.34997560977936E+01    0.54014843886563E-06   -0.62674868747670E+01
