 #   N                solution                   Error               log_Error
     1   -0.32684297520661E+01    0.81200000000000E+01    0.90955602924118E+00
     2   -0.33867568350546E+01    0.42719849686282E+01    0.63062971591814E+00
     3   -0.34434926643930E+01    0.22025209836972E+01    0.34292005468248E+00
     4   -0.34715063073817E+01    0.11248431015331E+01    0.51091949211450E-01
     5   -0.34855155335482E+01    0.57183681776313E+00   -0.24272788598992E+00
     6   -0.34925635346088E+01    0.29004640318406E+00   -0.53753251577473E+00
     7   -0.34961197841232E+01    0.14695024260600E+00   -0.83282969259675E+00
     8   -0.34979168020912E+01    0.74408979217785E-01   -0.11283746533058E+01
     9   -0.34988255232966E+01    0.37666508748322E-01   -0.14240446320294E+01
    10   -0.34992852176384E+01    0.19064359479105E-01   -0.17197777814925E+01
    11   -0.34995178063180E+01    0.96484405530566E-02   -0.20155428746283E+01
    12   -0.34996354988464E+01    0.48828779958745E-02   -0.23113241269099E+01
    13   -0.34996950554470E+01    0.24710779471766E-02   -0.26071135550857E+01
    14   -0.34997251939292E+01    0.12505264433456E-02   -0.29029071203448E+01
    15   -0.34997404456254E+01    0.63284480724501E-03   -0.31987027791148E+01
    16   -0.34997481638533E+01    0.32025838016647E-03   -0.34944994972978E+01
    17   -0.34997520697289E+01    0.16207022997872E-03   -0.37902967516125E+01
    18   -0.34997540463339E+01    0.82017348066010E-04   -0.40860942772202E+01
    19   -0.34997550466143E+01    0.41505730304259E-04   -0.43818919402103E+01
    20   -0.34997555528162E+01    0.21004402287694E-04   -0.46776896724621E+01
    21   -0.34997558089848E+01    0.10629493238490E-04   -0.49734874399897E+01
    22   -0.34997559386215E+01    0.53791638796596E-05   -0.52692852244581E+01
    23   -0.34997560042254E+01    0.27221808904798E-05   -0.55650830190566E+01
    24   -0.34997560374250E+01    0.13775874618815E-05   -0.58608808186056E+01
    25   -0.34997560542260E+01    0.69714221506700E-06   -0.61566786180015E+01
