 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     1      0.315360000000E+06      0.198900000000E+34     -0.299130454561E+14      0.626239331884E+12      0.415671270420E+05      0.198550185791E+07      0.131789243378E+00     -0.275905065713E-02
     1      0.946080000000E+06      0.198900000000E+34     -0.298606263345E+14      0.187762058430E+13      0.124628539587E+06      0.198202249759E+07      0.131558298110E+00     -0.827231705723E-02
     1      0.157680000000E+07      0.198900000000E+34     -0.297558799497E+14      0.312571152574E+13      0.207471555162E+06      0.197506987414E+07      0.131096812278E+00     -0.137710871874E-01
     1      0.220752000000E+07      0.198900000000E+34     -0.295989898576E+14      0.436832502247E+13      0.289951001049E+06      0.196465617120E+07      0.130405594583E+00     -0.192457250950E-01
     1      0.283824000000E+07      0.198900000000E+34     -0.293902309898E+14      0.560328353935E+13      0.371922341647E+06      0.195079963758E+07      0.129485856303E+00     -0.246866371160E-01
     1      0.346896000000E+07      0.198900000000E+34     -0.291299691717E+14      0.682842295568E+13      0.453241931748E+06      0.193352455524E+07      0.128339209171E+00     -0.300842886874E-01
     1      0.409968000000E+07      0.198900000000E+34     -0.288186604819E+14      0.804159635759E+13      0.533767268259E+06      0.191286119673E+07      0.126967662553E+00     -0.354292210549E-01
     1      0.473040000000E+07      0.198900000000E+34     -0.284568504524E+14      0.924067780026E+13      0.613357239927E+06      0.188884577219E+07      0.125373619924E+00     -0.407120678484E-01
     1      0.536112000000E+07      0.198900000000E+34     -0.280451731132E+14      0.104235660334E+14      0.691872374615E+06      0.186152036585E+07      0.123559874658E+00     -0.459235714956E-01
     1      0.599184000000E+07      0.198900000000E+34     -0.275843498808E+14      0.115881881834E+14      0.769175083711E+06      0.183093286228E+07      0.121529605131E+00     -0.510545994447E-01
     1      0.662256000000E+07      0.198900000000E+34     -0.270751882940E+14      0.127325033858E+14      0.845129903240E+06      0.179713686252E+07      0.119286369153E+00     -0.560961601681E-01
     1      0.725328000000E+07      0.198900000000E+34     -0.265185805991E+14      0.138545063618E+14      0.919603731245E+06      0.176019159011E+07      0.116834097734E+00     -0.610394189191E-01
     1      0.788400000000E+07      0.198900000000E+34     -0.259155021862E+14      0.149522309321E+14      0.992466061032E+06      0.172016178733E+07      0.114177088193E+00     -0.658757132138E-01
     1      0.851472000000E+07      0.198900000000E+34     -0.252670098798E+14      0.160237534625E+14      0.106358920987E+07      0.167711760173E+07      0.111319996628E+00     -0.705965680109E-01
     1      0.914544000000E+07      0.198900000000E+34     -0.245742400870E+14      0.170671962347E+14      0.113284854274E+07      0.163113446323E+07      0.108267829760E+00     -0.751937105632E-01
     1      0.977616000000E+07      0.198900000000E+34     -0.238384068059E+14      0.180807307370E+14      0.120012269075E+07      0.158229295191E+07      0.105025936153E+00     -0.796590849150E-01
     1      0.104068800000E+08      0.198900000000E+34     -0.230607994986E+14      0.190625808686E+14      0.126529376380E+07      0.153067865681E+07      0.101599996849E+00     -0.839848660189E-01
     1      0.110376000000E+08      0.198900000000E+34     -0.222427808311E+14      0.200110260515E+14      0.132824755719E+07      0.147638202596E+07      0.979960154055E-01     -0.881634734483E-01
     1      0.116683200000E+08      0.198900000000E+34     -0.213857842857E+14      0.209244042463E+14      0.138887375174E+07      0.141949820788E+07      0.942203073789E-01     -0.921875846812E-01
     1      0.122990400000E+08      0.198900000000E+34     -0.204913116487E+14      0.218011148643E+14      0.144706610712E+07      0.136012688481E+07      0.902794892571E-01     -0.960501479322E-01
