 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     1      0.315360000000E+03      0.198900000000E+34     -0.299196000000E+14      0.626285067377E+09      0.415701626464E+02      0.198593692091E+07      0.131818120938E+00     -0.275925215423E-05
     1      0.631035360000E+06      0.198900000000E+34     -0.298933715943E+14      0.125283056820E+13      0.831575570887E+05      0.198419599066E+07      0.131702392005E+00     -0.551964444990E-02
     1      0.126175536000E+07      0.198900000000E+34     -0.298147585661E+14      0.250284051170E+13      0.166127783603E+06      0.197897799461E+07      0.131355869801E+00     -0.110268473802E-01
     1      0.189247536000E+07      0.198900000000E+34     -0.296838986988E+14      0.374846562480E+13      0.248806853881E+06      0.197029208285E+07      0.130779161381E+00     -0.165147171485E-01
     1      0.252319536000E+07      0.198900000000E+34     -0.295010213321E+14      0.498752310460E+13      0.331049882210E+06      0.195815348276E+07      0.129973277206E+00     -0.219736366327E-01
     1      0.315391536000E+07      0.198900000000E+34     -0.292664469608E+14      0.621784166124E+13      0.412712746905E+06      0.194258347235E+07      0.128939629388E+00     -0.273940393402E-01
     1      0.378463536000E+07      0.198900000000E+34     -0.289805866727E+14      0.743726532301E+13      0.493652342901E+06      0.192360934303E+07      0.127680029223E+00     -0.327664261770E-01
     1      0.441535536000E+07      0.198900000000E+34     -0.286439414287E+14      0.864365721462E+13      0.573726832568E+06      0.190126435187E+07      0.126196684038E+00     -0.380813821019E-01
     1      0.504607536000E+07      0.198900000000E+34     -0.282571011843E+14      0.983490330203E+13      0.652795894315E+06      0.187558766336E+07      0.124492193334E+00     -0.433295926326E-01
     1      0.567679536000E+07      0.198900000000E+34     -0.278207438566E+14      0.110089160973E+14      0.730720968548E+06      0.184662428083E+07      0.122569544238E+00     -0.485018601789E-01
     1      0.630751536000E+07      0.198900000000E+34     -0.273356341353E+14      0.121636383171E+14      0.807365500540E+06      0.181442496762E+07      0.120432106287E+00     -0.535891201715E-01
     1      0.693823536000E+07      0.198900000000E+34     -0.268026221432E+14      0.132970464878E+14      0.882595179803E+06      0.177904615816E+07      0.118083625527E+00     -0.585824569585E-01
     1      0.756895536000E+07      0.198900000000E+34     -0.262226419460E+14      0.144071544921E+14      0.956278175530E+06      0.174054985913E+07      0.115528217961E+00     -0.634731194431E-01
     1      0.819967536000E+07      0.198900000000E+34     -0.255967099154E+14      0.154920170496E+14      0.102828536769E+07      0.169900354077E+07      0.112770362340E+00     -0.682525364329E-01
     1      0.883039536000E+07      0.198900000000E+34     -0.249259229477E+14      0.165497331261E+14      0.109849057339E+07      0.165448001869E+07      0.109814892326E+00     -0.729123316752E-01
     1      0.946111536000E+07      0.198900000000E+34     -0.242114565409E+14      0.175784492652E+14      0.116677076809E+07      0.160705732626E+07      0.106666988020E+00     -0.774443385517E-01
     1      0.100918353600E+08      0.198900000000E+34     -0.234545627352E+14      0.185763628367E+14      0.123300630126E+07      0.155681857784E+07      0.103332166891E+00     -0.818406144058E-01
     1      0.107225553600E+08      0.198900000000E+34     -0.226565679177E+14      0.195417251958E+14      0.129708110618E+07      0.150385182313E+07      0.998162741062E-01     -0.860934544781E-01
     1      0.113532753600E+08      0.198900000000E+34     -0.218188704980E+14      0.204728447478E+14      0.135888290340E+07      0.144824989280E+07      0.961254722897E-01     -0.901954054257E-01
     1      0.119839953600E+08      0.198900000000E+34     -0.209429384568E+14      0.213680899125E+14      0.141830339759E+07      0.139011023583E+07      0.922662307198E-01     -0.941392784002E-01
     1      0.126147153600E+08      0.198900000000E+34     -0.200303067733E+14      0.222258919838E+14      0.147523846744E+07      0.132953474865E+07      0.882453139888E-01     -0.979181616631E-01
     1      0.132454353600E+08      0.198900000000E+34     -0.190825747339E+14      0.230447478788E+14      0.152958834818E+07      0.126662959650E+07      0.840697701427E-01     -0.101525432715E+00
     1      0.138761553600E+08      0.198900000000E+34     -0.181014031295E+14      0.238232227721E+14      0.158125780647E+07      0.120150502734E+07      0.797469183235E-01     -0.104954769916E+00
     1      0.145068753600E+08      0.198900000000E+34     -0.170885113442E+14      0.245599526102E+14      0.163015630744E+07      0.113427517856E+07      0.752843359341E-01     -0.108200163583E+00
     1      0.151375953600E+08      0.198900000000E+34     -0.160456743414E+14      0.252536465018E+14      0.167619817331E+07      0.106505787685E+07      0.706898453488E-01     -0.111255926533E+00
     1      0.157683153600E+08      0.198900000000E+34     -0.149747195524E+14      0.259030889800E+14      0.171930273369E+07      0.993974431648E+06      0.659715001935E-01     -0.114116704068E+00
     1      0.163990353600E+08      0.198900000000E+34     -0.138775236733E+14      0.265071421325E+14      0.175939446695E+07      0.921149422405E+06      0.611375712189E-01     -0.116777483367E+00
     1      0.170297553600E+08      0.198900000000E+34     -0.127560093753E+14      0.270647475949E+14      0.179640313263E+07      0.846710480180E+06      0.561965317914E-01     -0.119233602289E+00
     1      0.176604753600E+08      0.198900000000E+34     -0.116121419344E+14      0.275749284057E+14      0.183026389454E+07      0.770788063840E+06      0.511570430282E-01     -0.121480757549E+00
     1      0.182911953600E+08      0.198900000000E+34     -0.104479257866E+14      0.280367907178E+14      0.186091743447E+07      0.693515231302E+06      0.460279386017E-01     -0.123515012272E+00
     1      0.189219153600E+08      0.198900000000E+34     -0.926540101418E+13      0.284495253645E+14      0.188831005606E+07      0.615027406227E+06      0.408182092404E-01     -0.125332802902E+00
     1      0.195526353600E+08      0.198900000000E+34     -0.806663976985E+13      0.288124092766E+14      0.191239377899E+07      0.535462140552E+06      0.355369869541E-01     -0.126930945448E+00
     1      0.201833553600E+08      0.198900000000E+34     -0.685374264435E+13      0.291248067496E+14      0.193312642299E+07      0.454958873295E+06      0.301935290098E-01     -0.128306641077E+00
     1      0.208140753600E+08      0.198900000000E+34     -0.562883498453E+13      0.293861705566E+14      0.195047168177E+07      0.373658686047E+06      0.247972016880E-01     -0.129457481013E+00
     1      0.214447953600E+08      0.198900000000E+34     -0.439406316787E+13      0.295960429064E+14      0.196439918656E+07      0.291704055584E+06      0.193574638474E-01     -0.130381450767E+00
     1      0.220755153600E+08      0.198900000000E+34     -0.315159084027E+13      0.297540562450E+14      0.197488455934E+07      0.209238604038E+06      0.138838503263E-01     -0.131076933664E+00
     1      0.227062353600E+08      0.198900000000E+34     -0.190359512357E+13      0.298599338986E+14      0.198190945544E+07      0.126406847056E+06      0.838595521148E-02     -0.131542713674E+00
     1      0.233369553600E+08      0.198900000000E+34     -0.652262799536E+12      0.299134905576E+14      0.198546159565E+07      0.433539403958E+05      0.287341500254E-02     -0.131777977539E+00
     1      0.239676753600E+08      0.198900000000E+34      0.600213523080E+12      0.299146325998E+14      0.198553478758E+07     -0.397745745892E+05     -0.264410829772E-02     -0.131782316191E+00
     1      0.245983953600E+08      0.198900000000E+34      0.185163925157E+13      0.298633582536E+14      0.198212893649E+07     -0.122833026147E+06     -0.815694413748E-02     -0.131555725461E+00
     1      0.252291153600E+08      0.198900000000E+34      0.309982165571E+13      0.297597575992E+14      0.197525004527E+07     -0.205675867539E+06     -0.136554303846E-01     -0.131098606079E+00
     1      0.258598353600E+08      0.198900000000E+34      0.434257371093E+13      0.296040124098E+14      0.196491020380E+07     -0.288157932230E+06     -0.191299302797E-01     -0.130411762954E+00
     1      0.264905553600E+08      0.198900000000E+34      0.557771793128E+13      0.293963958313E+14      0.195112756761E+07     -0.370134688401E+06     -0.245708493448E-01     -0.129496403753E+00
     1      0.271212753600E+08      0.198900000000E+34      0.680309018565E+13      0.291372719021E+14      0.193392632593E+07     -0.451462492341E+06     -0.299686522156E-01     -0.128354136770E+00
     1      0.277519953600E+08      0.198900000000E+34      0.801654349051E+13      0.288270949132E+14      0.191333665909E+07     -0.531998840272E+06     -0.353138793705E-01     -0.126986968083E+00
     1      0.283827153600E+08      0.198900000000E+34      0.921595177240E+13      0.284664086109E+14      0.188939468546E+07     -0.611602618167E+06     -0.405971637245E-01     -0.125397298029E+00
     1      0.290134353600E+08      0.198900000000E+34      0.103992135937E+14      0.280558452417E+14      0.186214239797E+07     -0.690134349114E+06     -0.458092470600E-01     -0.123587916968E+00
     1      0.296441553600E+08      0.198900000000E+34      0.115642558352E+14      0.275961244427E+14      0.183162759030E+07     -0.767456437801E+06     -0.509409962650E-01     -0.121562000374E+00
     1      0.302748753600E+08      0.198900000000E+34      0.127090373287E+14      0.270880519785E+14      0.179790377293E+07     -0.843433411692E+06     -0.559834193512E-01     -0.119323103246E+00
     1      0.309055953600E+08      0.198900000000E+34      0.138315524336E+14      0.265325183276E+14      0.176103007912E+07     -0.917932158459E+06     -0.609276812219E-01     -0.116875153851E+00
     1      0.315363153600E+08      0.198900000000E+34      0.149298345511E+14      0.259304971194E+14      0.172107116109E+07     -0.990822159271E+06     -0.657651191636E-01     -0.114222446819E+00
     1      0.321670353600E+08      0.198900000000E+34      0.160019595701E+14      0.252830434268E+14      0.167809707646E+07     -0.106197571751E+07     -0.704872580337E-01     -0.111369635581E+00
     1      0.327977553600E+08      0.198900000000E+34      0.170460492378E+14      0.245912919150E+14      0.163218316526E+07     -0.113126818255E+07     -0.750858251166E-01     -0.108321724193E+00
     1      0.334284753600E+08      0.198900000000E+34      0.180602744503E+14      0.238564548510E+14      0.158340991767E+07     -0.119857816812E+07     -0.795527646238E-01     -0.105084058536E+00
     1      0.340591953600E+08      0.198900000000E+34      0.190428584572E+14      0.230798199779E+14      0.153186283273E+07     -0.126378776501E+07     -0.838802518110E-01     -0.101662316918E+00
     1      0.346899153600E+08      0.198900000000E+34      0.199920799733E+14      0.222627482558E+14      0.147763226825E+07     -0.132678274761E+07     -0.880607066879E-01     -0.980625000920E-01
     1      0.353206353600E+08      0.198900000000E+34      0.209062761943E+14      0.214066714757E+14      0.142081328224E+07     -0.138745277397E+07     -0.920868072974E-01     -0.942909207137E-01
     1      0.359513553600E+08      0.198900000000E+34      0.217838457087E+14      0.205130897481E+14      0.136150546613E+07     -0.144569157910E+07     -0.959515025395E-01     -0.903541922477E-01
     1      0.365820753600E+08      0.198900000000E+34      0.226232513024E+14      0.195835688729E+14      0.129981276995E+07     -0.150139716101E+07     -0.996480245190E-01     -0.862592173485E-01
     1      0.372127953599E+08      0.198900000000E+34      0.234230226509E+14      0.186197375941E+14      0.123584332002E+07     -0.155447195932E+07     -0.103169900394E+00     -0.820131757362E-01
     1      0.378435153599E+08      0.198900000000E+34      0.241817588940E+14      0.176232847436E+14      0.116970922921E+07     -0.160482302612E+07     -0.106510963703E+00     -0.776235115854E-01
     1      0.384742353599E+08      0.198900000000E+34      0.248981310882E+14      0.165959562808E+14      0.110152640026E+07     -0.165236218857E+07     -0.109665365161E+00     -0.730979204534E-01
     1      0.391049553599E+08      0.198900000000E+34      0.255708845337E+14      0.155395522314E+14      0.103141432252E+07     -0.169700620333E+07     -0.112627582883E+00     -0.684443357678E-01
     1      0.397356753599E+08      0.198900000000E+34      0.261988409705E+14      0.144559235323E+14      0.959495862350E+06     -0.173867690210E+07     -0.115392432046E+00     -0.636709148984E-01
     1      0.403663953599E+08      0.198900000000E+34      0.267809006411E+14      0.133469687868E+14      0.885897047627E+06     -0.177730132849E+07     -0.117955073953E+00     -0.587860248390E-01
     1      0.409971153599E+08      0.198900000000E+34      0.273160442145E+14      0.122146309366E+14      0.810746846767E+06     -0.181281186552E+07     -0.120311024483E+00     -0.537982275222E-01
     1      0.416278353599E+08      0.198900000000E+34      0.278033345708E+14      0.110608938565E+14      0.734176942574E+06     -0.184514635392E+07     -0.122456161927E+00     -0.487162647954E-01
     1      0.422585553599E+08      0.198900000000E+34      0.282419184397E+14      0.988777887751E+13      0.656321501353E+06     -0.187424820078E+07     -0.124386734179E+00     -0.435490430825E-01
     1      0.428892753599E+08      0.198900000000E+34      0.286310278935E+14      0.869734124395E+13      0.577316937701E+06     -0.190006647840E+07     -0.126099365288E+00     -0.383056177597E-01
     1      0.435199953599E+08      0.198900000000E+34      0.289699816901E+14      0.749166651202E+13      0.497301675369E+06     -0.192255601329E+07     -0.127591061336E+00     -0.329951772723E-01
     1      0.441507153599E+08      0.198900000000E+34      0.292581864634E+14      0.627286689503E+13      0.416415904628E+06     -0.194167746501E+07     -0.128859215655E+00     -0.276270270206E-01
     1      0.447814353599E+08      0.198900000000E+34      0.294951377606E+14      0.504307756219E+13      0.334801336551E+06     -0.195739739480E+07     -0.129901613363E+00     -0.222105730428E-01
