 #   N                solution                   Error               log_Error
     1    0.20000000000000E+01    0.36281029269727E+00   -0.44032040077891E+00
     2    0.15000000000000E+01    0.17399799464162E+01    0.24054424298894E+00
     3    0.17500000000000E+01    0.87344378749575E+00   -0.58765039812091E-01
     4    0.18750000000000E+01    0.30071812643878E+00   -0.52184039306651E+00
     5    0.19375000000000E+01    0.19849126550495E-01   -0.17022585993616E+01
     6    0.19062500000000E+01    0.14325517224302E+00   -0.84388968882968E+00
     7    0.19218750000000E+01    0.62405651355954E-01   -0.12047760795232E+01
     8    0.19296875000000E+01    0.21453589807169E-01   -0.16685000273486E+01
     9    0.19335937500000E+01    0.84602149998281E-03   -0.30726186000753E+01
    10    0.19355468750000E+01    0.94906103524295E-02   -0.20227058566804E+01
    11    0.19345703125000E+01    0.43195582190059E-02   -0.23645606681987E+01
    12    0.19340820312500E+01    0.17360842248917E-02   -0.27604292091605E+01
    13    0.19338378906250E+01    0.44486031845903E-03   -0.33517763315926E+01
    14    0.19337158203125E+01    0.20062335305271E-03   -0.36976185154252E+01
    15    0.19337768554688E+01    0.12210779229216E-03   -0.39132566207275E+01
    16    0.19337463378906E+01    0.39260453003287E-04   -0.44060446936384E+01
    17    0.19337615966797E+01    0.41423001491125E-04   -0.43827584355293E+01
    18    0.19337539672852E+01    0.10811072055361E-05   -0.59661312380872E+01
    19    0.19337501525879E+01    0.19089714658804E-04   -0.47192005631219E+01
    20    0.19337520599365E+01    0.90043141667273E-05   -0.50455493605734E+01
    21    0.19337530136108E+01    0.39616060907299E-05   -0.54021287092940E+01
    22    0.19337534904480E+01    0.14402500951860E-05   -0.58415620873990E+01
    23    0.19337537288666E+01    0.17957160780568E-06   -0.67457623288495E+01
