 #   N                solution                   Error               log_Error
     1    0.14380697101235E+01    0.18967744915758E+01    0.27801570047965E+00
     2    0.17248046210494E+01    0.97770559734963E+00   -0.97918984787944E-02
     3    0.18572529142609E+01    0.38761602987404E+00   -0.41159827098689E+00
     4    0.19074558226875E+01    0.13706595800756E+00   -0.86307039411817E+00
     5    0.19249243690078E+01    0.46463039421905E-01   -0.13328923838387E+01
     6    0.19308134731692E+01    0.15522465086501E-01   -0.18090393083064E+01
     7    0.19327773031541E+01    0.51604598211972E-02   -0.22873115989714E+01
     8    0.19334297813393E+01    0.17128058725424E-02   -0.27662918566849E+01
     9    0.19336463011134E+01    0.56818890740251E-03   -0.32455072491434E+01
    10    0.19337181223571E+01    0.18845138787738E-03   -0.37248006597784E+01
    11    0.19337419427987E+01    0.62500004902599E-04   -0.42041199485892E+01
    12    0.19337498428025E+01    0.20727750857485E-04   -0.46834478201047E+01
    13    0.19337524627848E+01    0.68741888954449E-05   -0.51627785380815E+01
    14    0.19337533316798E+01    0.22797635192973E-05   -0.56421102001885E+01
    15    0.19337536198410E+01    0.75606272087470E-06   -0.61214421751338E+01
